Well,Fluor,Target,Sample,Rep,Cq
A06,FAM,,'02-39,2,45
A07,FAM,,'02-47,1,45
A08,FAM,,'02-47,2,45
A09,FAM,,'02-55,1,41.02843368
A10,FAM,,'02-55,2,40.63887311
A11,FAM,,'02-63,1,45
A12,FAM,,'02-63,2,45
B01,FAM,,'02-22,1,45
B02,FAM,,'02-22,2,45
B03,FAM,,'02-30,1,39.61927575
B04,FAM,,'02-30,2,45
B05,FAM,,'02-38,1,45
B06,FAM,,'02-38,2,45
B07,FAM,,'02-46,1,45
B08,FAM,,'02-46,2,38.18538413
B09,FAM,,'02-54,1,45
B10,FAM,,'02-54,2,45
B11,FAM,,'02-62,1,45
B12,FAM,,'02-62,2,45
C01,FAM,,'02-21,1,40.67797255
C02,FAM,,'02-21,2,40.47661622
C03,FAM,,'02-29,1,45
C04,FAM,,'02-29,2,45
C05,FAM,,'02-37,1,45
C06,FAM,,'02-37,2,45
C07,FAM,,'02-45,1,45
C08,FAM,,'02-45,2,45
C09,FAM,,'02-53,1,45
C10,FAM,,'02-53,2,45
C11,FAM,,'02-61,1,40.55692515
C12,FAM,,'02-61,2,39.69958316
D01,FAM,,'02-20,1,45
D02,FAM,,'02-20,2,45
D03,FAM,,'02-28,1,45
D04,FAM,,'02-28,2,45
D05,FAM,,'02-36,1,45
D06,FAM,,'02-36,2,45
D07,FAM,,'02-44,1,45
D08,FAM,,'02-44,2,45
D09,FAM,,'02-52,1,45
D10,FAM,,'02-52,2,45
D11,FAM,,'02-60,1,45
D12,FAM,,'02-60,2,45
E01,FAM,,'02-19,1,45
E02,FAM,,'02-19,2,45
E03,FAM,,'02-27,1,45
E04,FAM,,'02-27,2,45
E05,FAM,,'02-35,1,45
E06,FAM,,'02-35,2,39.54576098
E07,FAM,,'02-43,1,40.65049861
E08,FAM,,'02-43,2,40.26391424
E09,FAM,,'02-51,1,41.17734432
E10,FAM,,'02-51,2,39.59543024
E11,FAM,,'02-59,1,45
E12,FAM,,'02-59,2,45
F01,FAM,,'02-18,1,45
F02,FAM,,'02-18,2,45
F03,FAM,,'02-26,1,45
F04,FAM,,'02-26,2,45
F05,FAM,,'02-34,1,45
F06,FAM,,'02-34,2,45
F07,FAM,,'02-42,1,45
F08,FAM,,'02-42,2,45
F09,FAM,,'02-50,1,45
F10,FAM,,'02-50,2,45
F11,FAM,,'02-58,1,39.55655263
F12,FAM,,'02-58,2,45
G01,FAM,,"Bd+FV3 10_9,9",1,8.593071918
G02,FAM,,"Bd+FV3 10_8,8",1,13.1867148
G03,FAM,,"Bd+FV3 10_7,7",1,17.51027063
G04,FAM,,"Bd+FV3 10_6,6",1,19.84550348
G05,FAM,,"Bd+FV3 10_5,5",1,24.50322045
G06,FAM,,"Bd+FV3 10_4,4",1,28.1546262
G07,FAM,,"Bd+FV3 10_3,3",1,31.07732107
G08,FAM,,"Bd+FV3 10_2,2",1,45
G09,FAM,,"Bd+FV3 10_1,1",1,39.08393124
G10,FAM,,"Bd+FV3 10_0,0",1,45
G11,FAM,,NTC,1,45
G12,FAM,,Blank,1,45
H01,FAM,,"Bd+FV3 10_9,9",2,8.34893445
H02,FAM,,"Bd+FV3 10_8,8",2,13.12464294
H03,FAM,,"Bd+FV3 10_7,7",2,17.22339679
H04,FAM,,"Bd+FV3 10_6,6",2,20.98432373
H05,FAM,,"Bd+FV3 10_5,5",2,24.47717123
H06,FAM,,"Bd+FV3 10_4,4",2,27.69714429
H07,FAM,,"Bd+FV3 10_3,3",2,31.05080237
H08,FAM,,"Bd+FV3 10_2,2",2,35.17736139
H09,FAM,,"Bd+FV3 10_1,1",2,37.59736836
H10,FAM,,"Bd+FV3 10_0,0",2,45
H11,FAM,,NTC,2,38.9814013
H12,FAM,,Blank,2,45
A01,HEX,,'02-23,1,45
A02,HEX,,'02-23,2,45
A03,HEX,,'02-31,1,45
A04,HEX,,'02-31,2,45
A05,HEX,,'02-39,1,45
A06,HEX,,'02-39,2,45
A07,HEX,,'02-47,1,45
A08,HEX,,'02-47,2,45
A09,HEX,,'02-55,1,45
A10,HEX,,'02-55,2,45
A11,HEX,,'02-63,1,45
A12,HEX,,'02-63,2,45
B01,HEX,,'02-22,1,45
B02,HEX,,'02-22,2,45
B03,HEX,,'02-30,1,45
B04,HEX,,'02-30,2,45
B05,HEX,,'02-38,1,45
B06,HEX,,'02-38,2,45
B07,HEX,,'02-46,1,45
B08,HEX,,'02-46,2,45
B09,HEX,,'02-54,1,45
B10,HEX,,'02-54,2,45
